,Estado,Fecha,Camas,CamasCovid
38574,Florida,2022-07-30,45066.0,4408.0
44456,Puerto Rico,2022-07-30,5727.0,381.0
44528,Washington DC,2022-07-30,2681.0,182.0
37764,Luisiana,2022-07-30,8651.0,551.0
45415,Montana,2022-07-30,1901.0,103.0
38921,Virginia Occidental,2022-07-30,4471.0,404.0
46588,Alaska,2022-07-30,1434.0,83.0
40169,Illinois,2022-07-30,21124.0,1414.0
44170,Arizona,2022-07-30,11957.0,721.0
46103,Kansas,2022-07-30,4932.0,263.0
36334,Indiana,2022-07-30,11952.0,760.0
43192,Kentucky,2022-07-30,9034.0,744.0
36683,Nuevo Hampshire,2022-07-30,2243.0,79.0
42195,Georgia,2022-07-29,18387.0,1947.0
45546,Montana,2022-07-29,1989.0,111.0
34782,Nevada,2022-07-29,6480.0,419.0
42269,Carolina del Norte,2022-07-29,18166.0,1661.0
41409,Wisconsin,2022-07-29,9011.0,561.0
35580,Idaho,2022-07-29,2231.0,186.0
46477,Alaska,2022-07-29,1440.0,75.0
43702,Oklahoma,2022-07-29,7232.0,443.0
34734,Vermont,2022-07-29,971.0,39.0
38397,Virginia Occidental,2022-07-29,4608.0,385.0
41328,Kansas,2022-07-29,5117.0,272.0
37003,Misisipi,2022-07-29,5717.0,463.0
37361,Tennessee,2022-07-29,14865.0,949.0
41572,Washington DC,2022-07-29,2748.0,193.0
37320,Massachusetts,2022-07-29,15935.0,631.0
39425,Nebraska,2022-07-29,3390.0,231.0
39407,Iowa,2022-07-29,4806.0,244.0
34848,Rhode Island,2022-07-29,2058.0,59.0
39176,Hawái,2022-07-29,2050.0,154.0
36327,Indiana,2022-07-29,12516.0,769.0
41521,Virginia,2022-07-29,13025.0,889.0
34098,Colorado,2022-07-29,7997.0,318.0
39593,Misuri,2022-07-29,14048.0,1066.0
46165,Nueva Jersey,2022-07-29,17277.0,1159.0
34984,Arkansas,2022-07-29,6522.0,487.0
44160,Utah,2022-07-29,4511.0,242.0
34051,Texas,2022-07-29,50609.0,4046.0
45969,Florida,2022-07-29,46373.0,4492.0
38594,Wyoming,2022-07-29,834.0,34.0
43115,Ohio,2022-07-29,22705.0,1475.0
40735,Dakota del Sur,2022-07-29,1527.0,83.0
43628,Washington,2022-07-29,10296.0,842.0
40670,Puerto Rico,2022-07-29,5877.0,391.0
44144,Maine,2022-07-29,2356.0,138.0
44884,Kentucky,2022-07-29,9562.0,785.0
44229,California,2022-07-29,50560.0,5068.0
35222,Míchigan,2022-07-29,17855.0,987.0
42042,Dakota del Norte,2022-07-29,1630.0,67.0
37651,Nueva York,2022-07-29,39058.0,3127.0
38538,Pensilvania,2022-07-29,27058.0,1667.0
44926,carolina del Sur,2022-07-29,8818.0,624.0
43496,Alabama,2022-07-29,11413.0,885.0
38156,Minnesota,2022-07-29,7962.0,519.0
40337,Maryland,2022-07-29,9743.0,790.0
37015,Delaware,2022-07-29,2616.0,230.0
34447,Luisiana,2022-07-29,8971.0,548.0
36795,Nuevo Hampshire,2022-07-29,2308.0,76.0
38200,Connecticut,2022-07-29,6322.0,387.0
34017,Oregón,2022-07-29,5397.0,484.0
321,Islas Virgenes,2022-07-29,113.0,13.0
46114,Illinois,2022-07-29,21991.0,1508.0
37369,Samoa Estadounidense,2022-07-29,65.0,4.0
40845,Arizona,2022-07-29,12411.0,760.0
44385,Nuevo México,2022-07-29,2963.0,217.0
45406,Ohio,2022-07-28,22899.0,1453.0
43930,Carolina del Norte,2022-07-28,18306.0,1632.0
40713,Arkansas,2022-07-28,6545.0,506.0
39927,Maryland,2022-07-28,9802.0,799.0
43534,Míchigan,2022-07-28,18166.0,993.0
43269,Nueva York,2022-07-28,39276.0,3199.0
36593,Virginia Occidental,2022-07-28,4679.0,384.0
40745,Pensilvania,2022-07-28,27467.0,1719.0
39492,Oregón,2022-07-28,5437.0,501.0
35727,Massachusetts,2022-07-28,15976.0,650.0
40448,Hawái,2022-07-28,2054.0,159.0
40657,Kansas,2022-07-28,5167.0,278.0
43327,Maine,2022-07-28,2390.0,138.0
40368,Vermont,2022-07-28,976.0,30.0
35332,Montana,2022-07-28,2019.0,110.0
43390,Connecticut,2022-07-28,6269.0,378.0
36452,Oklahoma,2022-07-28,7479.0,457.0
42350,Misisipi,2022-07-28,5872.0,485.0
43804,Puerto Rico,2022-07-28,5842.0,357.0
35284,Idaho,2022-07-28,2307.0,190.0
39350,Misuri,2022-07-28,14174.0,1096.0
37871,Nebraska,2022-07-28,3414.0,220.0
46391,Wisconsin,2022-07-28,9025.0,558.0
39300,Florida,2022-07-28,46672.0,4569.0
43819,Alabama,2022-07-28,11610.0,904.0
35166,Nueva Jersey,2022-07-28,17440.0,1175.0
35378,Utah,2022-07-28,4503.0,239.0
41289,Dakota del Norte,2022-07-28,1620.0,74.0
45090,Arizona,2022-07-28,12422.0,797.0
39463,Wyoming,2022-07-28,876.0,32.0
37939,Texas,2022-07-28,50608.0,4046.0
43650,Nuevo México,2022-07-28,3019.0,225.0
44721,Dakota del Sur,2022-07-28,1549.0,93.0
322,Samoa Estadounidense,2022-07-28,75.0,5.0
37746,Washington,2022-07-28,10422.0,855.0
36551,California,2022-07-28,50867.0,5086.0
41335,Tennessee,2022-07-28,15018.0,963.0
45538,Virginia,2022-07-28,12993.0,862.0
39387,carolina del Sur,2022-07-28,9008.0,619.0
45925,Washington DC,2022-07-28,2790.0,201.0
35876,Delaware,2022-07-28,2656.0,231.0
42247,Islas Virgenes,2022-07-28,114.0,12.0
35589,Rhode Island,2022-07-28,2070.0,62.0
34886,Alaska,2022-07-28,1466.0,76.0
36503,Minnesota,2022-07-28,7962.0,485.0
44450,Indiana,2022-07-28,12725.0,809.0
36075,Nuevo Hampshire,2022-07-28,2329.0,79.0
45826,Luisiana,2022-07-28,9118.0,564.0
40241,Nevada,2022-07-28,6604.0,448.0
